,episode,steps,meanepreward,meaneplen,#parallel_run
0,0,5200,-1241.0187625967649,200.0,0
1,1,10400,-1224.5667848465212,200.0,0
2,2,15600,-1254.0796918585543,200.0,0
3,3,20800,-1233.3349662731184,200.0,0
4,4,26000,-1240.840067893006,200.0,0
5,5,31200,-1217.0087582770275,200.0,0
6,6,36400,-1163.9987938108573,200.0,0
7,7,41600,-1125.8914698735796,200.0,0
8,8,46800,-1119.4931942215283,200.0,0
9,9,52000,-1190.577424101909,200.0,0
10,10,57200,-1194.5045552933288,200.0,0
11,11,62400,-1078.3221583485215,200.0,0
12,12,67600,-1195.3487598018887,200.0,0
13,13,72800,-1162.1914476573058,200.0,0
14,14,78000,-1129.7534797413134,200.0,0
15,15,83200,-1148.5334087262943,200.0,0
16,16,88400,-1119.6907233254283,200.0,0
17,17,93600,-1195.222789710046,200.0,0
18,18,98800,-1090.502205457877,200.0,0
19,19,104000,-1156.0990515097944,200.0,0
20,20,109200,-1092.4345700075016,200.0,0
21,21,114400,-1054.3504186251905,200.0,0
22,22,119600,-1120.1745338867097,200.0,0
23,23,124800,-1140.7857230841744,200.0,0
24,24,130000,-1080.5186952704162,200.0,0
25,25,135200,-1063.373733648066,200.0,0
26,26,140400,-1067.5558490580797,200.0,0
27,27,145600,-1106.4912741161781,200.0,0
28,28,150800,-1063.5406470493897,200.0,0
29,29,156000,-1054.032812629134,200.0,0
30,30,161200,-1041.312464337646,200.0,0
31,31,166400,-1020.6482637585709,200.0,0
32,32,171600,-1009.4945571800599,200.0,0
33,33,176800,-1042.1475613605073,200.0,0
34,34,182000,-1022.5685592965692,200.0,0
35,35,187200,-1031.7049449508672,200.0,0
36,36,192400,-1061.6280317540854,200.0,0
37,37,197600,-1068.7875521003675,200.0,0
38,38,202800,-1066.0514568006865,200.0,0
39,39,208000,-1064.5639694047952,200.0,0
40,40,213200,-1070.3038808596482,200.0,0
41,41,218400,-1073.458956489985,200.0,0
42,42,223600,-1072.6515047763091,200.0,0
43,43,228800,-1020.1783865841348,200.0,0
44,44,234000,-1021.078807132809,200.0,0
45,45,239200,-1005.709370049452,200.0,0
46,46,244400,-995.5170866234718,200.0,0
47,47,249600,-1027.9950988317871,200.0,0
48,48,254800,-1024.6860565134493,200.0,0
49,49,260000,-1008.6552822393913,200.0,0
50,50,265200,-984.9268888100816,200.0,0
51,51,270400,-1039.6798433279982,200.0,0
52,52,275600,-999.8316347177011,200.0,0
53,53,280800,-1025.2404503870634,200.0,0
54,54,286000,-1000.7535122240818,200.0,0
55,55,291200,-1035.6596660186026,200.0,0
56,56,296400,-1009.8372665760969,200.0,0
57,57,301600,-1051.1362241293102,200.0,0
58,58,306800,-998.9812258977092,200.0,0
59,59,312000,-951.3628393110131,200.0,0
60,60,317200,-1033.199054588744,200.0,0
61,61,322400,-1031.6656912823028,200.0,0
62,62,327600,-1047.2165726190988,200.0,0
63,63,332800,-1043.4939689396322,200.0,0
64,64,338000,-1060.289903923876,200.0,0
65,65,343200,-1049.6541888327918,200.0,0
